stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
420,"KRES02","Kresowa",52.4686397100,16.9474248100,A
1083,"GORC30","Górczyn PKM",52.3818397800,16.8814533600,A
2186,"ZSNZ02","Żerniki/Skrzyżowanie",52.3268396556,17.0426260111,B
742,"OSTR02","Ostroroga",52.4003292800,16.8818442500,A
355,"SUCH02","Sucholeska",52.4623384300,16.8688846200,A
2678,"SCOGR02","Szczodrzykowo/Ogrodowa",52.2834214700,17.1069763900,C
3196,"KORN78","Kórnicka",52.3995855285,16.9516899055,A
487,"SERB01","Serbska",52.4324932200,16.9466084200,A
2245,"TRTOD01","Trzek/Topolowa",52.3474908081,17.1532634638,B
494,"POLA03","Połabska",52.4361636300,16.9308478800,A
2040,"TPKAI02","Tarnowo Pdg/Karolewo I",52.4691534857,16.6846222807,C
1652,"TEMA01","Termy Maltańskie",52.4055228300,16.9759399300,A
4136,"MACZ01","Maczka",52.4237505141,16.9134678163,A
2418,"SDRYN01","Swarzędz/Rynek",52.4105870000,17.0756670000,B
41,"KMIE71","Kmieca",52.4263321700,16.9384827300,A
2571,"MGMOD01","M. Goślina/Modrzewiowa",52.5664568900,17.0025375100,C
601,"LUPO02","Łupowska",52.4352823800,16.8301995000,A
2449,"PKDWO01","Paczkowo/Szkoła (Dworska)",52.4022200000,17.1589250000,C
1532,"POKR02","Pokrzywno",52.3507785100,16.9820619800,A
1757,"GLSTW04","Głuchowo/Stawna",52.3465437186,16.7688141799,C
2047,"TPCEN02","Tarnowo Pdg/Centrum",52.4642589300,16.6639011600,C
1220,"SWIA01","Światopełka",52.4088075100,17.0247293100,A
2244,"TRTOD02","Trzek/Topolowa",52.3471931536,17.1537947361,B
1856,"KICZE02","Kiekrz/Czereśniowa",52.4987834900,16.7504222400,B
1956,"PMWIA02","Przeźmierowo/Wiadukt",52.4354184600,16.7863166501,B
1469,"PILS01","Piłsudskiego",52.3917749100,16.9530540900,A
29,"SZYM42","Szymanowskiego",52.4603710300,16.9169382500,A
2285,"MELIS02","Mielno/Lisia",52.4894689300,17.0718976700,C
1169,"URWI01","Urwista",52.4230537700,16.9831660800,A
1635,"REMO02","Rezerwat Morasko",52.4879355700,16.8974506500,A
2403,"GTDOZ02","Gortatowo/Dożynkowa",52.4244570000,17.1019520000,B
382,"SOB01","Os. Sobieskiego",52.4636932100,16.9164340900,A
768,"SZAM01","Szamotulska",52.4046890900,16.8832369900,A
3087,"LIDPS01","Lisówki/DPS",52.3324740000,16.6469710000,C
2937,"XRZLO01","Kruszewnia/Złotopolska",52.3761980000,17.1021880000,C
146,"LOMZ42","Łomżyńska",52.4096310300,16.9851960400,A
2361,"SDKOS02","Swarzędz/Os. Kościuszkowców",52.4210380000,17.0814040000,B
3096,"LUZSK03","Luboń/Zespół Szkół",52.3482935634,16.8972492541,B
2522,"SDFIE01","Swarzędz/Pogodna/Średzka",52.4005350000,17.0842660000,B
1821,"PWPAW02","Pawłowice/Pawłowicka",52.4878779600,16.7987427900,B
2627,"KDBOS02","Kórnik/Bnin Osiedle",52.2228421700,17.0869526200,C
3869,"WTWIT01","Witkowice/Gorgoszewo Skrzyżowanie ",52.4818740000,16.5255420000,C
620,"OGDY01","Ogrody",52.4169067600,16.8818094600,A
1614,"CZ I02","Os. Czecha I",52.3824873200,16.9819436900,A
33,"ARPO42","Armii Poznań",52.4213487500,16.9235154600,A
485,"SERB04","Serbska",52.4313437400,16.9475532400,A
2333,"ZNNSW01","Zimin/Nowy Świat Centrum",52.2989001200,17.1753768100,B
743,"OSTR01","Ostroroga",52.4007473900,16.8824578700,A
1885,"RKMIC02","Rokietnica/Mickiewicza",52.5159209100,16.7394621600,B
964,"KOLUB02","Komorniki/Lubońska",52.3391737668,16.8347214580,B
1607,"NIEZ02","Niezłomnych",52.4030230600,16.9208396200,A
99,"ARCI42","Arciszewskiego",52.3926985000,16.8869293500,A
1613,"DZIA02","Dziadoszańska",52.3776499100,16.9710129600,A
